2026-03-26 00:13:48,728 | INFO | __main__ | Checking editions to load...
2026-03-26 00:13:48,729 | INFO | __main__ | Compiling source card list...
2026-03-26 00:13:48,729 | INFO | core.card_processor | Loading Ninth Edition...
2026-03-26 00:13:48,729 | INFO | core.card_processor | Loading Revised Edition...
2026-03-26 00:13:48,730 | INFO | core.card_processor | Loading Fourth Edition...
2026-03-26 00:13:48,730 | INFO | core.card_processor | Loading Ice Age...
2026-03-26 00:13:48,731 | INFO | core.card_processor | Loading Homelands...
2026-03-26 00:13:48,731 | INFO | core.card_processor | Loading Alliances...
2026-03-26 00:13:48,732 | INFO | core.card_processor | Loading Time Spiral...
2026-03-26 00:13:48,732 | INFO | core.card_processor | Loading Ninth edition...
2026-03-26 00:13:48,732 | WARNING | core.card_processor | Duplicate edition 'Ninth edition' detected, skipping.
2026-03-26 00:13:48,733 | INFO | core.card_processor | Loading Coldsnap...
2026-03-26 00:13:48,733 | INFO | core.card_processor | Loading Fallen Empires...
2026-03-26 00:13:48,733 | INFO | core.card_processor | Loading The Dark...
2026-03-26 00:13:48,734 | INFO | __main__ | Checking unsupported cards...
2026-03-26 00:13:48,758 | INFO | core.card_processor | Found 557 unsupported cards.
2026-03-26 00:13:48,758 | INFO | __main__ | Loading user-banned cards...
2026-03-26 00:13:48,758 | INFO | __main__ | User-banned file is empty.
2026-03-26 00:13:48,758 | INFO | __main__ | Formatting cards to MTG: Forge format...
2026-03-26 00:13:48,758 | INFO | core.card_processor | Generating edition codes...
2026-03-26 00:13:48,760 | INFO | __main__ | Writing unsupported cards to Standard.txt...
2026-03-26 00:13:48,760 | INFO | __main__ | Compilation complete!
